Time,Activity,Messwert,TestPersonID
1.0,still, 0.01340751,tp13
2.0,still, 0.00889588,tp13
3.0,still, 0.01114424,tp13
4.0,still, 0.00926885,tp13
5.0,still, 0.00978284,tp13
6.0,still, 0.01162107,tp13
7.0,still, 0.00652434,tp13
8.0,still, 0.01004429,tp13
9.0,still, 0.00954309,tp13
10.0,still, 0.01035079,tp13
11.0,still, 0.00947941,tp13
12.0,still, 0.00940742,tp13
13.0,still, 0.0075482,tp13
14.0,still, 0.00992615,tp13
15.0,still, 0.00636103,tp13
16.0,still, 0.01008752,tp13
17.0,still, 0.00724526,tp13
18.0,still, 0.00771557,tp13
19.0,still, 0.00793579,tp13
20.0,still, 0.01006034,tp13
21.0,still, 0.00557909,tp13
22.0,still, 0.00849389,tp13
23.0,still, 0.00594257,tp13
24.0,still, 0.00754788,tp13
25.0,still, 0.00555427,tp13
26.0,still, 0.00846643,tp13
27.0,still, 0.0060034,tp13
28.0,still, 0.00899827,tp13
29.0,still, 0.0052535,tp13
30.0,still, 0.00637971,tp13
31.0,still, 0.00300539,tp13
32.0,still, 0.00701112,tp13
33.0,still, 0.00299029,tp13
34.0,still, 0.00435971,tp13
35.0,still, 0.00401215,tp13
36.0,still, 0.00466891,tp13
37.0,still, 0.00428557,tp13
38.0,still, 0.00566435,tp13
39.0,still, 0.00317511,tp13
40.0,still, 0.00523569,tp13
41.0,still, 0.00187336,tp13
42.0,still, 0.00234681,tp13
43.0,still, 0.00211632,tp13
44.0,still, 0.00279776,tp13
45.0,still, 0.00183308,tp13
46.0,still, 0.00409339,tp13
47.0,still,-0.00058665,tp13
48.0,still, 0.0046775,tp13
49.0,still, 0.0016848,tp13
50.0,still, 0.00194691,tp13
51.0,still,-0.00058194,tp13
52.0,still, 0.00131884,tp13
53.0,still,-0.00035267,tp13
54.0,still, 0.00254429,tp13
55.0,still, 0.00182388,tp13
56.0,still, 0.0009321,tp13
57.0,still, 0.00050772,tp13
58.0,still, 0.0013921,tp13
59.0,still,-0.00119,tp13
60.0,still, 0.00159744,tp13
61.0,still, 0.00070865,tp13
62.0,still, 0.00031752,tp13
63.0,still,-0.00034053,tp13
64.0,still, 0.00252506,tp13
65.0,still, -4.38061543e-05,tp13
66.0,still, 0.00399855,tp13
67.0,still, 0.00061999,tp13
68.0,still, 0.00344039,tp13
69.0,still,-0.00056655,tp13
70.0,still, 0.00151367,tp13
71.0,still,-0.00179862,tp13
72.0,still, 0.00099648,tp13
73.0,still,-0.00288367,tp13
74.0,still,-0.000133,tp13
75.0,still,-0.00278452,tp13
76.0,still,-0.00112552,tp13
77.0,still,-0.0018536,tp13
78.0,still,-0.00208609,tp13
79.0,still,-0.00146675,tp13
80.0,still,-0.0002808,tp13
81.0,still,-0.00111155,tp13
82.0,still,-0.00135442,tp13
83.0,still,-0.00280526,tp13
84.0,still,-0.00141727,tp13
85.0,still,-0.00356345,tp13
86.0,still,-0.00043711,tp13
87.0,still,-0.00344545,tp13
88.0,still,-0.00150182,tp13
89.0,still,-0.00370637,tp13
90.0,still,-0.00184922,tp13
91.0,still,-0.00456303,tp13
92.0,still,-0.00393457,tp13
93.0,still,-0.00343609,tp13
94.0,still,-0.00409568,tp13
95.0,still,-0.00398781,tp13
96.0,still,-0.00209385,tp13
97.0,still,-0.00404434,tp13
98.0,still,-0.00342116,tp13
99.0,still,-0.0042305,tp13
100.0,still,-0.00172562,tp13
101.0,still,-0.00301364,tp13
102.0,still,-0.0026163,tp13
103.0,still,-0.00228511,tp13
104.0,still,-0.00398814,tp13
105.0,still,-0.00363609,tp13
106.0,still,-0.00259211,tp13
107.0,still,-0.0038957,tp13
108.0,still,-0.00236251,tp13
109.0,still,-0.0024874,tp13
110.0,still,-0.00133789,tp13
111.0,still,-0.00502164,tp13
112.0,still,-0.00304658,tp13
113.0,still,-0.00473532,tp13
114.0,still,-0.00261216,tp13
115.0,still,-0.00451853,tp13
116.0,still,-0.002731,tp13
117.0,still,-0.00411987,tp13
118.0,still,-0.00400354,tp13
119.0,still,-0.00528193,tp13
120.0,still,-0.00166388,tp13
121.0,still,-0.00476316,tp13
122.0,still,-0.00227286,tp13
123.0,still,-0.00296933,tp13
124.0,still,-0.00214061,tp13
125.0,still,-0.00408046,tp13
126.0,still,-0.00053871,tp13
127.0,still,-0.00228955,tp13
128.0,still,-0.00098517,tp13
129.0,still,-0.00618243,tp13
130.0,still,-0.00236635,tp13
131.0,still,-0.00318027,tp13
132.0,still,-0.00440597,tp13
133.0,still,-0.00464381,tp13
134.0,still,-0.00309039,tp13
135.0,still,-0.00261972,tp13
136.0,still,-0.00136807,tp13
137.0,still,-0.00428474,tp13
138.0,still,-0.00046344,tp13
139.0,still,-0.00172681,tp13
140.0,still,-0.00148709,tp13
141.0,still,-0.00109927,tp13
142.0,still, 0.00097934,tp13
143.0,still, -3.22517008e-05,tp13
144.0,still, 0.00106121,tp13
145.0,still,-0.00267801,tp13
146.0,still,  9.03191976e-05,tp13
147.0,still,-0.00069598,tp13
148.0,still,-0.00153123,tp13
149.0,still,-0.00256608,tp13
150.0,still,-0.00240403,tp13
151.0,still,-0.00018422,tp13
152.0,still,-0.0025106,tp13
153.0,still,-0.00101594,tp13
154.0,still,-0.00196655,tp13
155.0,still,-0.00417524,tp13
156.0,still,-0.0019889,tp13
157.0,still,-0.00359075,tp13
158.0,still,-0.00268467,tp13
159.0,still,-0.003488,tp13
160.0,still,-0.00137107,tp13
161.0,still,-0.00437424,tp13
162.0,still,-0.00124401,tp13
163.0,still,-0.00306703,tp13
164.0,still,-0.00395414,tp13
165.0,still,-0.00540333,tp13
166.0,still,-0.0021959,tp13
167.0,still,-0.00424567,tp13
168.0,still,-0.0020542,tp13
169.0,still,-0.00271192,tp13
170.0,still,-0.00066365,tp13
171.0,still,-0.00016005,tp13
172.0,still,-0.00184488,tp13
173.0,still,-0.00483761,tp13
174.0,still,-0.00118207,tp13
175.0,still,-0.00124552,tp13
176.0,still,-0.00215609,tp13
177.0,still,-0.00159901,tp13
178.0,still,-0.00153462,tp13
179.0,still,-0.0019254,tp13
180.0,still,-0.00279489,tp13
181.0,still,-0.00356043,tp13
182.0,still,-0.00246648,tp13
183.0,still,-0.00178215,tp13
184.0,still,-0.00162266,tp13
185.0,still,-0.00270733,tp13
186.0,still,-0.00265494,tp13
187.0,still,  9.30014066e-05,tp13
188.0,still,-0.00592368,tp13
189.0,still,-0.00309676,tp13
190.0,still,-0.00443083,tp13
191.0,still,-0.00198854,tp13
192.0,still,-0.0041561,tp13
193.0,still,-0.00274713,tp13
194.0,still,-0.00250969,tp13
195.0,still,-0.00279043,tp13
196.0,still,-0.00261235,tp13
197.0,still,-0.00258808,tp13
198.0,still,-0.00362411,tp13
199.0,still,-0.00412954,tp13
200.0,still,-0.00399095,tp13
201.0,still,-0.00273315,tp13
202.0,still,-0.00579506,tp13
203.0,still,-0.00432805,tp13
204.0,still,-0.00403325,tp13
205.0,still,-0.00207626,tp13
206.0,still,-0.00457051,tp13
207.0,still,-0.00820899,tp13
208.0,still,-0.00355355,tp13
209.0,still,-0.00390383,tp13
210.0,still,-0.00570257,tp13
211.0,still,-0.00420267,tp13
212.0,still,-0.00526892,tp13
213.0,still,-0.00419846,tp13
214.0,still,-0.00429438,tp13
215.0,still,-0.00387346,tp13
216.0,still,-0.00676018,tp13
217.0,still,-0.00381787,tp13
218.0,still,-0.00473525,tp13
219.0,still,-0.00306377,tp13
220.0,still,-0.00332495,tp13
221.0,still,-0.00633854,tp13
222.0,still,-0.00455122,tp13
223.0,still,-0.0039408,tp13
224.0,still,-0.00433858,tp13
225.0,still,-0.00785015,tp13
226.0,still,-0.00488724,tp13
227.0,still,-0.00475427,tp13
228.0,still,-0.00740964,tp13
229.0,still,-0.00532984,tp13
230.0,still,-0.00570342,tp13
231.0,still,-0.00576797,tp13
232.0,still,-0.00392253,tp13
233.0,still,-0.00434542,tp13
234.0,still,-0.00718502,tp13
235.0,still,-0.00540793,tp13
236.0,still,-0.00595861,tp13
237.0,still,-0.00807574,tp13
238.0,still,-0.00785865,tp13
239.0,still,-0.00515991,tp13
240.0,still,-0.00559012,tp13
241.0,essen,-0.00446848,tp13
242.0,essen,-0.00481688,tp13
243.0,essen,-0.00364501,tp13
244.0,essen,-0.00385314,tp13
245.0,essen,-0.00296726,tp13
246.0,essen,-0.00466893,tp13
247.0,essen,-0.00449724,tp13
248.0,essen,-0.00538782,tp13
249.0,essen,-0.00411396,tp13
250.0,essen,-0.00822014,tp13
251.0,essen,-0.00560072,tp13
252.0,essen,-0.00507908,tp13
253.0,essen,-0.00477661,tp13
254.0,essen,-0.00459924,tp13
255.0,essen,-0.00260643,tp13
256.0,essen,-0.00618614,tp13
257.0,essen,-0.00277559,tp13
258.0,essen,-0.00623068,tp13
259.0,essen,-0.00245498,tp13
260.0,essen,-0.00788284,tp13
261.0,essen,-0.00093132,tp13
262.0,essen,-0.00522951,tp13
263.0,essen,-0.00295106,tp13
264.0,essen,-0.00609785,tp13
265.0,essen,-0.00371478,tp13
266.0,essen,-0.00448646,tp13
267.0,essen,-0.0048525,tp13
268.0,essen,-0.00521263,tp13
269.0,essen,-0.00268913,tp13
270.0,essen,-0.00414044,tp13
271.0,essen,-0.00314658,tp13
272.0,essen,-0.00410569,tp13
273.0,essen,-0.00532289,tp13
274.0,essen,-0.00412852,tp13
275.0,essen,-0.0039812,tp13
276.0,essen,-0.0074707,tp13
277.0,essen,-0.00378936,tp13
278.0,essen,-0.00682607,tp13
279.0,essen,-0.00394066,tp13
280.0,essen,-0.00700427,tp13
281.0,essen,-0.00266101,tp13
282.0,essen,-0.00428834,tp13
283.0,essen,-0.00313467,tp13
284.0,essen,-0.00651119,tp13
285.0,essen,-0.00456648,tp13
286.0,essen,-0.00431594,tp13
287.0,essen,-0.00397774,tp13
288.0,essen,-0.00385613,tp13
289.0,essen,-0.00134279,tp13
290.0,essen,-0.00483385,tp13
291.0,essen,-0.00166932,tp13
292.0,essen,-0.00206505,tp13
293.0,essen,-0.00133392,tp13
294.0,essen,-0.00318825,tp13
295.0,essen,-0.00119813,tp13
296.0,essen,-0.0041445,tp13
297.0,essen,-0.00165506,tp13
298.0,essen,-0.00238274,tp13
299.0,essen,-0.0009487,tp13
300.0,essen,-0.00244371,tp13
301.0,essen,-0.00091753,tp13
302.0,essen,-0.00668386,tp13
303.0,essen,-0.00236819,tp13
304.0,essen,-0.00362894,tp13
305.0,essen,-0.00214443,tp13
306.0,essen,-0.00310491,tp13
307.0,essen,-0.00159725,tp13
308.0,essen,-0.00471603,tp13
309.0,essen,-0.00136644,tp13
310.0,essen,-0.00642666,tp13
311.0,essen,-0.00353576,tp13
312.0,essen,-0.00262569,tp13
313.0,essen,-0.00375831,tp13
314.0,essen,-0.00360158,tp13
315.0,essen,-0.00165951,tp13
316.0,essen,-0.00325974,tp13
317.0,essen,-0.00207947,tp13
318.0,essen,-0.00179481,tp13
319.0,essen,-0.00066596,tp13
320.0,essen,-0.00109854,tp13
321.0,essen, 0.00053524,tp13
322.0,essen,-0.00170219,tp13
323.0,essen,-0.00027145,tp13
324.0,essen,-0.00455669,tp13
325.0,essen,-0.00026626,tp13
326.0,essen,-0.00058275,tp13
327.0,essen, 0.00031718,tp13
328.0,essen,-0.00140131,tp13
329.0,essen, 0.00317615,tp13
330.0,essen, 0.00096105,tp13
331.0,essen, 0.00374637,tp13
332.0,essen, 0.00121945,tp13
333.0,essen, 0.00112265,tp13
334.0,essen, 0.00045159,tp13
335.0,essen, 0.00236521,tp13
336.0,essen,-0.0003843,tp13
337.0,essen,-0.00082142,tp13
338.0,essen,-0.00279693,tp13
339.0,essen,-0.00150181,tp13
340.0,essen,-0.00219457,tp13
341.0,essen,-0.00163492,tp13
342.0,essen,-0.00102273,tp13
343.0,essen,-0.00369102,tp13
344.0,essen,-0.00189697,tp13
345.0,essen,-0.00058349,tp13
346.0,essen,-0.00592329,tp13
347.0,essen,-0.00230826,tp13
348.0,essen,-0.0036535,tp13
349.0,essen, 0.00089816,tp13
350.0,essen,-0.00461369,tp13
351.0,essen,-0.00135008,tp13
352.0,essen,-0.0013453,tp13
353.0,essen,-0.00043167,tp13
354.0,essen,-0.0016519,tp13
355.0,essen,-0.00139997,tp13
356.0,essen, 0.00157472,tp13
357.0,essen, 0.0025365,tp13
358.0,essen, 0.00327182,tp13
359.0,essen, 0.00402626,tp13
360.0,essen, 0.00158847,tp13
361.0,essen, 0.00536599,tp13
362.0,essen, 0.0015143,tp13
363.0,essen, 0.00401989,tp13
364.0,essen,-0.00199367,tp13
365.0,essen,-0.00013346,tp13
366.0,essen,-0.00039075,tp13
367.0,essen,-0.00327965,tp13
368.0,essen,-0.00551988,tp13
369.0,essen,-0.00291008,tp13
370.0,essen,-0.00391283,tp13
371.0,essen,-0.00235585,tp13
372.0,essen,-0.00372958,tp13
373.0,essen,-0.00620353,tp13
374.0,essen,-0.00491446,tp13
375.0,essen,-0.00255328,tp13
376.0,essen,-0.00498244,tp13
377.0,essen,-0.00258915,tp13
378.0,essen,-0.00359322,tp13
379.0,essen,-0.00358249,tp13
380.0,essen,-0.0040865,tp13
381.0,essen,-0.00446148,tp13
382.0,essen,-0.00431549,tp13
383.0,essen,-0.00401972,tp13
384.0,essen,-0.00709032,tp13
385.0,essen,-0.00442002,tp13
386.0,essen,-0.00493892,tp13
387.0,essen,-0.00444999,tp13
388.0,essen,-0.00490684,tp13
389.0,essen,-0.00399328,tp13
390.0,essen,-0.00666722,tp13
391.0,essen,-0.00675656,tp13
392.0,essen,-0.00872197,tp13
393.0,essen,-0.00626515,tp13
394.0,essen,-0.00869054,tp13
395.0,essen,-0.00789863,tp13
396.0,essen,-0.0099044,tp13
397.0,essen,-0.00942592,tp13
398.0,essen,-0.00749942,tp13
399.0,essen,-0.00984136,tp13
400.0,essen,-0.00914884,tp13
401.0,essen,-0.0101316,tp13
402.0,essen,-0.01073529,tp13
403.0,essen,-0.00957198,tp13
404.0,essen,-0.00872766,tp13
405.0,essen,-0.01219632,tp13
406.0,essen,-0.00800926,tp13
407.0,essen,-0.00651833,tp13
408.0,essen,-0.01041036,tp13
409.0,essen,-0.0072465,tp13
410.0,essen,-0.01112591,tp13
411.0,essen,-0.00873712,tp13
412.0,essen,-0.01138076,tp13
413.0,essen,-0.01122767,tp13
414.0,essen,-0.00880369,tp13
415.0,essen,-0.00841368,tp13
416.0,essen,-0.00996721,tp13
417.0,essen,-0.00961868,tp13
418.0,essen,-0.00806254,tp13
419.0,essen,-0.01101167,tp13
420.0,essen,-0.00661577,tp13
421.0,essen,-0.00952367,tp13
422.0,essen,-0.01208485,tp13
423.0,essen,-0.00779127,tp13
424.0,essen,-0.00870968,tp13
425.0,essen,-0.00528183,tp13
426.0,essen,-0.00859842,tp13
427.0,essen,-0.00277759,tp13
428.0,essen,-0.00709911,tp13
429.0,essen,-0.00317738,tp13
430.0,essen,-0.00670431,tp13
431.0,essen,-0.00333257,tp13
432.0,essen,-0.00231226,tp13
433.0,essen,-0.00536588,tp13
434.0,essen,-0.00019508,tp13
435.0,essen,-0.00503618,tp13
436.0,essen, 0.0007059,tp13
437.0,essen,-0.00063406,tp13
438.0,essen,-0.0001973,tp13
439.0,essen, 0.00144476,tp13
440.0,essen, 0.00051796,tp13
441.0,essen, 0.00475444,tp13
442.0,essen, 0.00289993,tp13
443.0,essen, 0.00628266,tp13
444.0,essen, 0.00667661,tp13
445.0,essen, 0.00709433,tp13
446.0,essen, 0.00829274,tp13
447.0,essen, 0.00983613,tp13
448.0,essen, 0.01317331,tp13
449.0,essen, 0.00940186,tp13
450.0,essen, 0.01001664,tp13
451.0,essen, 0.00556247,tp13
452.0,essen, 0.00971564,tp13
453.0,essen, 0.00362844,tp13
454.0,essen, 0.00214391,tp13
455.0,essen, 0.0037708,tp13
456.0,essen,  7.21924007e-05,tp13
457.0,essen, 0.00318316,tp13
458.0,essen, 0.00255237,tp13
459.0,essen, 0.00190028,tp13
460.0,essen, 0.00146962,tp13
461.0,essen, 0.00168127,tp13
462.0,essen, 0.00176846,tp13
463.0,essen,-0.00284115,tp13
464.0,essen, 0.00103861,tp13
465.0,essen,-0.00422651,tp13
466.0,essen, 0.00040099,tp13
467.0,essen,-0.00415761,tp13
468.0,essen, 0.0003784,tp13
469.0,essen,-0.00451267,tp13
470.0,essen,-0.00209146,tp13
471.0,essen,-0.00467357,tp13
472.0,essen,-0.00221896,tp13
473.0,essen,-0.00146628,tp13
474.0,essen,-0.00211795,tp13
475.0,essen, 0.00011796,tp13
476.0,essen, 0.0006549,tp13
477.0,essen,-0.00399612,tp13
478.0,essen, 0.00172109,tp13
479.0,essen,-0.00221834,tp13
480.0,essen, 0.00123115,tp13
481.0,essen,-0.00394296,tp13
482.0,essen,  1.68546103e-05,tp13
483.0,essen,-0.00356377,tp13
484.0,essen,-0.00012411,tp13
485.0,essen,-0.0051563,tp13
486.0,essen,-0.00214703,tp13
487.0,essen,-0.00202927,tp13
488.0,essen,-0.00142833,tp13
489.0,essen,-0.00068462,tp13
490.0,essen, 0.00050263,tp13
491.0,essen, -2.40155496e-05,tp13
492.0,essen, 0.00324364,tp13
493.0,essen, 0.00073763,tp13
494.0,essen, 0.00144909,tp13
495.0,essen,  5.97573817e-05,tp13
496.0,essen, 0.00075073,tp13
497.0,essen,-0.00159778,tp13
498.0,essen, 0.00381297,tp13
499.0,essen, 0.00235826,tp13
500.0,essen, 0.00398421,tp13
501.0,essen, 0.00061787,tp13
502.0,essen, 0.00484377,tp13
503.0,essen, 0.00325145,tp13
504.0,essen, 0.00610487,tp13
505.0,essen, 0.00203931,tp13
506.0,essen, 0.00466733,tp13
507.0,essen, 0.00392404,tp13
508.0,essen, 0.00403944,tp13
509.0,essen, 0.00400125,tp13
510.0,essen, 0.00550809,tp13
511.0,essen, 0.00256948,tp13
512.0,essen, 0.00200632,tp13
513.0,essen, 0.00169356,tp13
514.0,essen, 0.00408123,tp13
