Time,Activity,Messwert,TestPersonID
1.0,still, 0.00494505,tp05
2.0,still, 0.00468704,tp05
3.0,still, 0.00352354,tp05
4.0,still, 0.00349759,tp05
5.0,still, 0.0036231,tp05
6.0,still, 0.00289817,tp05
7.0,still, 0.00391026,tp05
8.0,still, 0.00302892,tp05
9.0,still, 0.00385658,tp05
10.0,still,-0.00211385,tp05
11.0,still, 0.00284841,tp05
12.0,still,  7.34245405e-05,tp05
13.0,still, 0.00285245,tp05
14.0,still, 0.00328808,tp05
15.0,still, 0.00426221,tp05
16.0,still, 0.00276788,tp05
17.0,still, 0.00302187,tp05
18.0,still, 0.00163602,tp05
19.0,still, 0.00214849,tp05
20.0,still, 0.00268349,tp05
21.0,still, 0.00269535,tp05
22.0,still, 0.00225237,tp05
23.0,still, 0.00169448,tp05
24.0,still, 0.00059934,tp05
25.0,still, 0.00348855,tp05
26.0,still, 0.00142753,tp05
27.0,still, 0.00233502,tp05
28.0,still,-0.00204197,tp05
29.0,still,-0.00117438,tp05
30.0,still, 0.00034702,tp05
31.0,still,  8.90484080e-05,tp05
32.0,still, 0.00147065,tp05
33.0,still,  1.45873055e-05,tp05
34.0,still,-0.00060218,tp05
35.0,still,-0.00021015,tp05
36.0,still, 0.00102431,tp05
37.0,still, 0.00102882,tp05
38.0,still,-0.00051176,tp05
39.0,still,-0.00072706,tp05
40.0,still, 0.00145398,tp05
41.0,still,-0.00312212,tp05
42.0,still,-0.00060276,tp05
43.0,still,-0.0039668,tp05
44.0,still,-0.00028341,tp05
45.0,still,-0.00050128,tp05
46.0,still,-0.0011097,tp05
47.0,still, 0.00056288,tp05
48.0,still,-0.00145457,tp05
49.0,still,-0.00041296,tp05
50.0,still,-0.00014393,tp05
51.0,still,-0.00227194,tp05
52.0,still,-0.00146034,tp05
53.0,still,-0.00126637,tp05
54.0,still, 0.00171179,tp05
55.0,still,-0.00162454,tp05
56.0,still,-0.00197329,tp05
57.0,still,-0.00325576,tp05
58.0,still,-0.00406463,tp05
59.0,still,-0.00137754,tp05
60.0,still,-0.00272841,tp05
61.0,still,-0.00230216,tp05
62.0,still,-0.00212426,tp05
63.0,still,-0.00185787,tp05
64.0,still,-0.00244338,tp05
65.0,still,-0.00302002,tp05
66.0,still,-0.00252762,tp05
67.0,still,-0.0023754,tp05
68.0,still,-0.00249779,tp05
69.0,still,-0.00386009,tp05
70.0,still,-0.00232417,tp05
71.0,still,-0.00374894,tp05
72.0,still,-0.00121434,tp05
73.0,still,-0.00238226,tp05
74.0,still,-0.00347216,tp05
75.0,still,-0.00272811,tp05
76.0,still,-0.00347904,tp05
77.0,still,-0.00294626,tp05
78.0,still,-0.00351152,tp05
79.0,still,-0.00228084,tp05
80.0,still,-0.00321877,tp05
81.0,still,-0.00029541,tp05
82.0,still,-0.00047455,tp05
83.0,still,-0.00413462,tp05
84.0,still,-0.00098522,tp05
85.0,still,-0.00403138,tp05
86.0,still,-0.00260962,tp05
87.0,still,-0.00399538,tp05
88.0,still,-0.00211905,tp05
89.0,still,-0.00302668,tp05
90.0,still,-0.00543525,tp05
91.0,still,-0.00668701,tp05
92.0,still,-0.00431483,tp05
93.0,still,-0.00282526,tp05
94.0,still,-0.00417446,tp05
95.0,still,-0.00507929,tp05
96.0,still,-0.00066908,tp05
97.0,still,-0.00220037,tp05
98.0,still,-0.00407242,tp05
99.0,still,-0.00397778,tp05
100.0,still,-0.00349031,tp05
101.0,still,-0.00258552,tp05
102.0,still,-0.00187551,tp05
103.0,still,-0.00432615,tp05
104.0,still,-0.00328695,tp05
105.0,still,-0.0045346,tp05
106.0,still,-0.00388529,tp05
107.0,still,-0.00448709,tp05
108.0,still,-0.00517042,tp05
109.0,still,-0.00478292,tp05
110.0,still,-0.00231041,tp05
111.0,still,-0.00559927,tp05
112.0,still,-0.00356829,tp05
113.0,still,-0.0050807,tp05
114.0,still,-0.00269289,tp05
115.0,still,-0.0067013,tp05
116.0,still,-0.00147145,tp05
117.0,still,-0.00534547,tp05
118.0,still,-0.00352756,tp05
119.0,still,-0.00440173,tp05
120.0,still,-0.00423262,tp05
121.0,still,-0.0038232,tp05
122.0,still,-0.00541868,tp05
123.0,still,-0.00459701,tp05
124.0,still,-0.00851254,tp05
