Time,Activity,Messwert,TestPersonID
1.0,undef, 0.01029985,tp11
2.0,undef, 0.00593605,tp11
3.0,undef, 0.00760337,tp11
4.0,undef, 0.00727635,tp11
5.0,undef, 0.00689275,tp11
6.0,undef, 0.00487825,tp11
7.0,undef, 0.00652793,tp11
8.0,undef, 0.00694095,tp11
9.0,undef, 0.00655953,tp11
10.0,undef, 0.00612243,tp11
11.0,undef, 0.00623635,tp11
12.0,undef, 0.00583294,tp11
13.0,undef, 0.00658594,tp11
14.0,undef, 0.00575195,tp11
15.0,undef, 0.00577779,tp11
16.0,undef, 0.00416682,tp11
17.0,undef, 0.00678973,tp11
18.0,undef,-0.00062316,tp11
19.0,undef, 0.00415968,tp11
20.0,undef, 0.00417642,tp11
21.0,undef, 0.00461656,tp11
22.0,undef, 0.00405007,tp11
23.0,undef, 0.00467288,tp11
24.0,undef, 0.00413491,tp11
25.0,undef, 0.00657305,tp11
26.0,undef, 0.00515779,tp11
27.0,undef, 0.0060347,tp11
28.0,undef, 0.00456555,tp11
29.0,undef, 0.00484417,tp11
30.0,undef, 0.00517875,tp11
31.0,undef, 0.00508376,tp11
32.0,undef, 0.00456551,tp11
33.0,undef, 0.00517521,tp11
34.0,undef, 0.0041093,tp11
35.0,undef, 0.00420972,tp11
36.0,undef, 0.00409616,tp11
37.0,undef, 0.00337797,tp11
38.0,undef, 0.0037908,tp11
39.0,undef, 0.00407597,tp11
40.0,undef, 0.00411417,tp11
41.0,undef, 0.00396961,tp11
42.0,undef, 0.00173656,tp11
43.0,undef, 0.00465557,tp11
44.0,undef, 0.00232087,tp11
45.0,undef, 0.00329181,tp11
46.0,undef, 0.00188532,tp11
47.0,undef, 0.00340737,tp11
48.0,undef, 0.00175626,tp11
49.0,undef, 0.00358257,tp11
50.0,undef, 0.00138304,tp11
51.0,undef, 0.00212377,tp11
52.0,undef, 0.0019749,tp11
53.0,undef, 0.00207034,tp11
54.0,undef, 0.00140685,tp11
55.0,undef, 0.00147997,tp11
56.0,undef, 0.0005825,tp11
57.0,undef, 0.00342413,tp11
58.0,undef, 0.00083155,tp11
59.0,undef, 0.00157888,tp11
60.0,undef, 0.00043692,tp11
61.0,rauch, 0.00152304,tp11
62.0,rauch, 0.00068461,tp11
63.0,rauch, 0.0020092,tp11
64.0,rauch,-0.00050276,tp11
65.0,rauch, 0.00183877,tp11
66.0,rauch,-0.00312451,tp11
67.0,rauch,-0.00150161,tp11
68.0,rauch,-0.00126556,tp11
69.0,rauch,-0.00133577,tp11
70.0,rauch,-0.00085954,tp11
71.0,rauch,-0.00063256,tp11
72.0,rauch,-0.00165083,tp11
73.0,rauch,-0.00219957,tp11
74.0,rauch,-0.00174035,tp11
75.0,rauch, -1.54096633e-05,tp11
76.0,rauch,-0.00231443,tp11
77.0,rauch,-0.00221658,tp11
78.0,rauch,-0.00508859,tp11
79.0,rauch,-0.00310133,tp11
80.0,rauch,-0.00171851,tp11
81.0,rauch,-0.00377887,tp11
82.0,rauch,-0.00247636,tp11
83.0,rauch,-0.00307086,tp11
84.0,rauch,-0.00447418,tp11
85.0,rauch,-0.00313006,tp11
86.0,rauch,-0.00198712,tp11
87.0,rauch,-0.0019513,tp11
88.0,rauch,-0.00443006,tp11
89.0,rauch,-0.00208569,tp11
90.0,rauch,-0.00165369,tp11
91.0,rauch,-0.00259102,tp11
92.0,rauch,-0.00239347,tp11
93.0,rauch,-0.00359202,tp11
94.0,rauch,-0.00244004,tp11
95.0,rauch,-0.00275876,tp11
96.0,rauch,-0.0046477,tp11
97.0,rauch,-0.00211597,tp11
98.0,rauch,-0.00365012,tp11
99.0,rauch, 0.00017015,tp11
100.0,rauch,-0.00263922,tp11
101.0,rauch, 0.00013651,tp11
102.0,rauch,-0.0034294,tp11
103.0,rauch,-0.00036906,tp11
104.0,rauch,-0.00326069,tp11
105.0,rauch, 0.00040341,tp11
106.0,rauch,-0.0031657,tp11
107.0,rauch, 0.00037614,tp11
108.0,rauch,-0.00401017,tp11
109.0,rauch,-0.00184897,tp11
110.0,rauch,-0.00323326,tp11
111.0,rauch,-0.0012344,tp11
112.0,rauch,-0.00156701,tp11
113.0,rauch, 0.00034708,tp11
114.0,rauch,-0.00331052,tp11
115.0,rauch,-0.00100696,tp11
116.0,rauch,-0.00264489,tp11
117.0,rauch,-0.00071423,tp11
118.0,rauch,-0.0031437,tp11
119.0,rauch,-0.00250786,tp11
120.0,rauch,-0.00233548,tp11
121.0,rauch,-0.00380118,tp11
122.0,rauch,-0.00279122,tp11
123.0,rauch,-0.00534003,tp11
124.0,rauch,-0.00085323,tp11
125.0,rauch,-0.00309664,tp11
126.0,rauch,-0.001399,tp11
127.0,rauch,-0.00221015,tp11
128.0,rauch,-0.00031311,tp11
129.0,rauch,-0.00519913,tp11
130.0,rauch,-0.00368164,tp11
131.0,rauch,-0.00333716,tp11
132.0,rauch,-0.00163424,tp11
133.0,rauch,-0.0045909,tp11
134.0,rauch,-0.00377764,tp11
135.0,rauch,-0.00427849,tp11
136.0,rauch,-0.00619525,tp11
137.0,rauch,-0.00378164,tp11
138.0,rauch,-0.00240275,tp11
139.0,rauch,-0.00604212,tp11
140.0,rauch,-0.00187247,tp11
141.0,rauch,-0.00506439,tp11
142.0,rauch,-0.00308941,tp11
143.0,rauch,-0.000507,tp11
144.0,rauch,-0.00108261,tp11
145.0,rauch,-0.00601175,tp11
146.0,rauch,-0.00596039,tp11
147.0,rauch,-0.00284961,tp11
148.0,rauch,-0.00656975,tp11
149.0,rauch,-0.00684173,tp11
150.0,rauch,-0.00462499,tp11
151.0,rauch,-0.00443964,tp11
152.0,rauch,-0.00374156,tp11
153.0,rauch,-0.00356831,tp11
154.0,rauch,-0.00412423,tp11
155.0,rauch,-0.00530767,tp11
156.0,rauch,-0.00244425,tp11
157.0,rauch,-0.0054388,tp11
158.0,rauch,-0.0072982,tp11
159.0,rauch,-0.01031087,tp11
160.0,rauch,-0.00818901,tp11
161.0,rauch,-0.00682446,tp11
162.0,rauch,-0.00599421,tp11
163.0,rauch,-0.0055996,tp11
164.0,rauch,-0.00839089,tp11
165.0,rauch,-0.00665695,tp11
166.0,rauch,-0.00861317,tp11
167.0,rauch,-0.00675313,tp11
168.0,rauch,-0.00846391,tp11
169.0,rauch,-0.00508979,tp11
170.0,rauch,-0.00603595,tp11
171.0,rauch,-0.00857305,tp11
172.0,rauch,-0.008285,tp11
173.0,rauch,-0.00778824,tp11
174.0,rauch,-0.00808554,tp11
175.0,rauch,-0.01046777,tp11
176.0,rauch,-0.00787617,tp11
177.0,rauch,-0.00844193,tp11
178.0,rauch,-0.00869553,tp11
179.0,rauch,-0.0103682,tp11
180.0,rauch,-0.00532052,tp11
181.0,rauch,-0.00782871,tp11
182.0,rauch,-0.00948127,tp11
183.0,rauch,-0.00935154,tp11
184.0,rauch,-0.01355452,tp11
185.0,rauch,-0.01078755,tp11
186.0,rauch,-0.00981706,tp11
187.0,rauch,-0.00946561,tp11
188.0,rauch,-0.01284426,tp11
189.0,rauch,-0.01017395,tp11
190.0,rauch,-0.01293384,tp11
191.0,rauch,-0.01277396,tp11
192.0,rauch,-0.01016136,tp11
193.0,rauch,-0.01088793,tp11
194.0,rauch,-0.01023948,tp11
195.0,rauch,-0.01465828,tp11
196.0,rauch,-0.01473929,tp11
197.0,rauch,-0.01636242,tp11
198.0,rauch,-0.01193171,tp11
199.0,rauch,-0.01435034,tp11
200.0,rauch,-0.01221828,tp11
201.0,rauch,-0.01141882,tp11
202.0,rauch,-0.01147805,tp11
203.0,rauch,-0.01168662,tp11
204.0,rauch,-0.01107297,tp11
205.0,rauch,-0.01352666,tp11
206.0,rauch,-0.01136864,tp11
207.0,rauch,-0.01423937,tp11
208.0,rauch,-0.01273453,tp11
209.0,rauch,-0.01231066,tp11
210.0,rauch,-0.01131612,tp11
211.0,rauch,-0.01315217,tp11
212.0,rauch,-0.01141558,tp11
213.0,rauch,-0.01512562,tp11
214.0,rauch,-0.01256953,tp11
215.0,rauch,-0.01492672,tp11
216.0,rauch,-0.0121888,tp11
217.0,rauch,-0.01206467,tp11
218.0,rauch,-0.01466736,tp11
219.0,rauch,-0.01111112,tp11
220.0,rauch,-0.01433088,tp11
221.0,rauch,-0.00771728,tp11
