Time,Activity,Messwert,TestPersonID
1.0,undef, 0.00798475,tp04
2.0,undef, 0.01008396,tp04
3.0,undef, 0.00833437,tp04
4.0,undef, 0.00794246,tp04
5.0,undef, 0.00843393,tp04
6.0,undef, 0.00746322,tp04
7.0,undef, 0.00862643,tp04
8.0,undef, 0.00792377,tp04
9.0,undef, 0.00677619,tp04
10.0,undef, 0.00706849,tp04
11.0,undef, 0.00726484,tp04
12.0,undef, 0.00509471,tp04
13.0,undef, 0.0046826,tp04
14.0,undef, 0.00573007,tp04
15.0,undef, 0.00579216,tp04
16.0,undef, 0.00651914,tp04
17.0,undef, 0.0049325,tp04
18.0,undef, 0.00300515,tp04
19.0,undef, 0.00443796,tp04
20.0,undef, 0.00427402,tp04
21.0,undef, 0.00414232,tp04
22.0,undef, 0.00319421,tp04
23.0,undef, 0.00389549,tp04
24.0,undef, 0.00449515,tp04
25.0,undef, 0.00296503,tp04
26.0,undef, 0.00430458,tp04
27.0,undef, 0.00301882,tp04
28.0,undef, 0.00284215,tp04
29.0,undef, 0.0029707,tp04
30.0,undef, 0.00200651,tp04
31.0,undef, 0.00223768,tp04
32.0,undef, 0.00122323,tp04
33.0,undef, 0.00176846,tp04
34.0,undef, 0.00176022,tp04
35.0,undef, 0.00178221,tp04
36.0,undef, 0.00304567,tp04
37.0,undef, 0.00162448,tp04
38.0,undef, 0.00198098,tp04
39.0,undef, 0.00202909,tp04
40.0,undef, 0.00304563,tp04
41.0,undef, 0.00225965,tp04
42.0,undef, 0.00248462,tp04
43.0,undef, 0.00073701,tp04
44.0,undef, 0.00113548,tp04
45.0,undef, 0.00158855,tp04
46.0,undef, 0.00103514,tp04
47.0,undef, 0.00082297,tp04
48.0,undef, 0.00209816,tp04
49.0,undef, 0.00093098,tp04
50.0,undef, 0.00111372,tp04
51.0,undef, 0.0007181,tp04
52.0,undef, 0.00078261,tp04
53.0,undef, 0.00217894,tp04
54.0,undef, 0.00043439,tp04
55.0,undef, 0.00113884,tp04
56.0,undef, 0.00062111,tp04
57.0,undef, 0.00047443,tp04
58.0,undef, 0.00020869,tp04
59.0,undef, 0.00064356,tp04
60.0,undef, 0.00101138,tp04
61.0,undef, 0.00097988,tp04
62.0,undef, 0.00110019,tp04
63.0,undef, 0.00103687,tp04
64.0,undef, 0.00251927,tp04
65.0,undef, 0.00046569,tp04
66.0,undef, 0.00113827,tp04
67.0,undef, 0.00110412,tp04
68.0,undef, 0.00028275,tp04
69.0,undef,-0.00052658,tp04
70.0,undef, 0.00061476,tp04
71.0,undef, 0.00037609,tp04
72.0,undef, 0.00044382,tp04
73.0,undef, -3.47588211e-05,tp04
74.0,undef,-0.00077893,tp04
75.0,undef,-0.00054272,tp04
76.0,undef, 0.00078061,tp04
77.0,undef,-0.00064193,tp04
78.0,undef,-0.00046827,tp04
79.0,undef,-0.00166027,tp04
80.0,undef,-0.00177434,tp04
81.0,undef,-0.00094747,tp04
82.0,undef,-0.00201078,tp04
83.0,undef,-0.00175566,tp04
84.0,undef,-0.00280668,tp04
85.0,undef,-0.00317551,tp04
86.0,undef,-0.00308418,tp04
87.0,undef,-0.00387234,tp04
88.0,undef,-0.00486054,tp04
89.0,undef,-0.00465228,tp04
90.0,undef,-0.00414364,tp04
91.0,undef,-0.00530812,tp04
92.0,undef,-0.00518262,tp04
93.0,undef,-0.00608834,tp04
94.0,undef,-0.00346616,tp04
95.0,undef,-0.00551689,tp04
96.0,undef,-0.00577992,tp04
97.0,undef,-0.00694722,tp04
98.0,undef,-0.00630934,tp04
99.0,undef,-0.00619514,tp04
100.0,undef,-0.00696041,tp04
101.0,undef,-0.00635052,tp04
102.0,undef,-0.00844493,tp04
103.0,undef,-0.00738751,tp04
104.0,undef,-0.00801091,tp04
105.0,undef,-0.00604942,tp04
106.0,undef,-0.00690301,tp04
107.0,undef,-0.00628927,tp04
108.0,undef,-0.00731965,tp04
109.0,undef,-0.00730415,tp04
110.0,undef,-0.00713662,tp04
111.0,undef,-0.00687989,tp04
112.0,undef,-0.0069897,tp04
113.0,undef,-0.00624895,tp04
114.0,undef,-0.00760859,tp04
115.0,undef,-0.00543348,tp04
116.0,undef,-0.00610696,tp04
117.0,undef,-0.00673958,tp04
118.0,undef,-0.00739246,tp04
119.0,undef,-0.00627798,tp04
120.0,undef,-0.00681498,tp04
121.0,still,-0.006374,tp04
122.0,still,-0.00560558,tp04
123.0,still,-0.00463581,tp04
124.0,still,-0.00619406,tp04
125.0,still,-0.00618381,tp04
126.0,still,-0.00614275,tp04
127.0,still,-0.00731332,tp04
128.0,still,-0.0048308,tp04
129.0,still,-0.00601933,tp04
130.0,still,-0.00549336,tp04
131.0,still,-0.00648915,tp04
132.0,still,-0.00537942,tp04
133.0,still,-0.0059212,tp04
134.0,still,-0.00624233,tp04
135.0,still,-0.0059825,tp04
136.0,still,-0.00557438,tp04
137.0,still,-0.00571691,tp04
138.0,still,-0.00594761,tp04
