Time,Activity,Messwert,TestPersonID
1.0,still, 0.01063187,tp14
2.0,still, 0.01087435,tp14
3.0,still, 0.00914307,tp14
4.0,still, 0.01031403,tp14
5.0,still, 0.00916442,tp14
6.0,still, 0.00884862,tp14
7.0,still, 0.00886971,tp14
8.0,still, 0.00934391,tp14
9.0,still, 0.00771995,tp14
10.0,still, 0.00845154,tp14
11.0,still, 0.00905029,tp14
12.0,still, 0.00879105,tp14
13.0,still, 0.00650509,tp14
14.0,still, 0.00809915,tp14
15.0,still, 0.00630645,tp14
16.0,still, 0.00784128,tp14
17.0,still, 0.00683843,tp14
18.0,still, 0.00681893,tp14
19.0,still, 0.00601138,tp14
20.0,still, 0.00551797,tp14
21.0,still, 0.00560676,tp14
22.0,still, 0.00684476,tp14
23.0,still, 0.00612509,tp14
24.0,still, 0.00629382,tp14
25.0,still, 0.00455096,tp14
26.0,still, 0.00619568,tp14
27.0,still, 0.00472573,tp14
28.0,still, 0.00373125,tp14
29.0,still, 0.00438679,tp14
30.0,still, 0.00521396,tp14
31.0,still, 0.00302945,tp14
32.0,still, 0.00448153,tp14
33.0,still, 0.0034278,tp14
34.0,still, 0.00344942,tp14
35.0,still, 0.00301596,tp14
36.0,still, 0.00416374,tp14
37.0,still, 0.00059888,tp14
38.0,still, 0.00235724,tp14
39.0,still, 0.002484,tp14
40.0,still, 0.00182102,tp14
41.0,still, 0.00174315,tp14
42.0,still, 0.00087863,tp14
43.0,still, 0.00111725,tp14
44.0,still, 0.00086756,tp14
45.0,still, 0.00089408,tp14
46.0,still, 0.00191976,tp14
47.0,still, 0.00050676,tp14
48.0,still, 0.00117436,tp14
49.0,still,-0.00025815,tp14
50.0,still,  8.73780809e-05,tp14
51.0,still,-0.00057183,tp14
52.0,still, 0.0004751,tp14
53.0,still,-0.00100769,tp14
54.0,still,-0.00065103,tp14
55.0,still,-0.00048129,tp14
56.0,still, 0.00041302,tp14
57.0,still,-0.00073546,tp14
58.0,still,-0.00204872,tp14
59.0,still,-0.00025262,tp14
60.0,still,-0.00017928,tp14
61.0,still,-0.00086431,tp14
62.0,still, -8.51396471e-05,tp14
63.0,still,-0.0025587,tp14
64.0,still,-0.00133024,tp14
65.0,still,-0.00018027,tp14
66.0,still,-0.00098591,tp14
67.0,still,-0.00247632,tp14
68.0,still,-0.00152115,tp14
69.0,still,-0.00170069,tp14
70.0,still,-0.00154418,tp14
71.0,still,-0.00054162,tp14
72.0,still,-0.00100777,tp14
73.0,still,-0.00204252,tp14
74.0,still,-0.00206218,tp14
75.0,still,-0.0021722,tp14
76.0,still,-0.00231066,tp14
77.0,still,-0.00335561,tp14
78.0,still,-0.00238553,tp14
79.0,still,-0.0044284,tp14
80.0,still,-0.00274508,tp14
81.0,still,-0.00384282,tp14
82.0,still,-0.00425757,tp14
83.0,still,-0.00345406,tp14
84.0,still,-0.00399486,tp14
85.0,still,-0.003982,tp14
86.0,still,-0.00296925,tp14
87.0,still,-0.0046368,tp14
88.0,still,-0.00376506,tp14
89.0,still,-0.00402655,tp14
90.0,still,-0.0032841,tp14
91.0,still,-0.00467268,tp14
92.0,still,-0.00231437,tp14
93.0,still,-0.00356498,tp14
94.0,still,-0.00506945,tp14
95.0,still,-0.00524868,tp14
96.0,still,-0.00439475,tp14
97.0,still,-0.0047646,tp14
98.0,still,-0.00418943,tp14
99.0,still,-0.00407665,tp14
100.0,still,-0.00493443,tp14
101.0,still,-0.00335568,tp14
102.0,still,-0.00440492,tp14
103.0,still,-0.00519591,tp14
104.0,still,-0.00485389,tp14
105.0,still,-0.00451637,tp14
106.0,still,-0.00363806,tp14
107.0,still,-0.00537741,tp14
108.0,still,-0.00345551,tp14
109.0,still,-0.00404547,tp14
110.0,still,-0.00535334,tp14
111.0,still,-0.00485414,tp14
112.0,still,-0.00381649,tp14
113.0,still,-0.00494444,tp14
114.0,still,-0.0047527,tp14
115.0,still,-0.00541144,tp14
116.0,still,-0.00530261,tp14
117.0,still,-0.00443748,tp14
118.0,still,-0.00467511,tp14
119.0,still,-0.0050905,tp14
120.0,still,-0.00425724,tp14
121.0,still,-0.00482922,tp14
122.0,still,-0.00445319,tp14
123.0,still,-0.00568771,tp14
124.0,still,-0.00496475,tp14
125.0,still,-0.00688731,tp14
126.0,still,-0.00596366,tp14
127.0,still,-0.00587084,tp14
128.0,still,-0.00665722,tp14
129.0,still,-0.00609845,tp14
130.0,still,-0.00557753,tp14
131.0,still,-0.00660857,tp14
132.0,still,-0.00604853,tp14
133.0,still,-0.00552635,tp14
134.0,still,-0.0064047,tp14
135.0,still,-0.00557306,tp14
136.0,still,-0.00572241,tp14
137.0,still,-0.00644449,tp14
138.0,still,-0.00527712,tp14
139.0,still,-0.00551979,tp14
140.0,still,-0.00597034,tp14
141.0,still,-0.00592894,tp14
142.0,still,-0.00528165,tp14
143.0,still,-0.00494623,tp14
144.0,still,-0.00676596,tp14
145.0,still,-0.00628627,tp14
146.0,still,-0.00653997,tp14
147.0,still,-0.00742536,tp14
148.0,still,-0.00620676,tp14
149.0,still,-0.00533861,tp14
150.0,still,-0.00699691,tp14
151.0,still,-0.00632785,tp14
152.0,still,-0.00666758,tp14
153.0,still,-0.0061837,tp14
154.0,still,-0.00737235,tp14
155.0,still,-0.00587698,tp14
156.0,still,-0.00597816,tp14
157.0,still,-0.00580458,tp14
158.0,still,-0.006057,tp14
159.0,still,-0.00554775,tp14
160.0,still,-0.00592386,tp14
161.0,still,-0.00526385,tp14
162.0,still,-0.00643052,tp14
163.0,still,-0.00582238,tp14
164.0,still,-0.00613131,tp14
165.0,still,-0.00370872,tp14
166.0,still,-0.00559258,tp14
167.0,still,-0.00402508,tp14
168.0,still,-0.00690289,tp14
169.0,still,-0.00492114,tp14
170.0,still,-0.00578518,tp14
171.0,still,-0.00584829,tp14
172.0,still,-0.0048496,tp14
173.0,still,-0.00598553,tp14
174.0,still,-0.005953,tp14
175.0,still,-0.00561738,tp14
176.0,still,-0.00686128,tp14
177.0,still,-0.00678358,tp14
178.0,still,-0.00491903,tp14
179.0,still,-0.00492919,tp14
180.0,still,-0.00730147,tp14
181.0,still,-0.00515481,tp14
182.0,still,-0.00712862,tp14
183.0,still,-0.00528608,tp14
184.0,still,-0.00752924,tp14
185.0,still,-0.00607322,tp14
186.0,still,-0.00578905,tp14
187.0,still,-0.00547814,tp14
188.0,still,-0.00532267,tp14
189.0,still,-0.00604739,tp14
190.0,still,-0.00639728,tp14
191.0,still,-0.0052873,tp14
192.0,still,-0.00501095,tp14
193.0,still,-0.00495017,tp14
194.0,still,-0.00543501,tp14
195.0,still,-0.00479131,tp14
196.0,still,-0.00642848,tp14
197.0,still,-0.00552661,tp14
198.0,still,-0.00554617,tp14
199.0,still,-0.00517104,tp14
200.0,still,-0.00580051,tp14
201.0,still,-0.00451168,tp14
202.0,still,-0.00624025,tp14
203.0,still,-0.0048226,tp14
204.0,still,-0.00475815,tp14
205.0,still,-0.00539084,tp14
206.0,still,-0.00528663,tp14
207.0,still,-0.00475929,tp14
208.0,still,-0.00484502,tp14
209.0,still,-0.00550453,tp14
210.0,still,-0.00569935,tp14
211.0,still,-0.00528484,tp14
212.0,still,-0.0050879,tp14
213.0,still,-0.00371189,tp14
214.0,still,-0.00471852,tp14
215.0,still,-0.00255942,tp14
216.0,still,-0.00515741,tp14
217.0,still,-0.00438447,tp14
218.0,still,-0.00513704,tp14
219.0,still,-0.0046057,tp14
220.0,still,-0.00541455,tp14
221.0,still,-0.00393897,tp14
222.0,still,-0.00448397,tp14
223.0,still,-0.00371789,tp14
224.0,still,-0.00393202,tp14
225.0,still,-0.00241591,tp14
226.0,still,-0.00379961,tp14
227.0,still,-0.0029815,tp14
228.0,still,-0.00520433,tp14
229.0,still,-0.00439497,tp14
230.0,still,-0.00471784,tp14
231.0,still,-0.00379347,tp14
232.0,still,-0.00630531,tp14
233.0,still,-0.00314516,tp14
234.0,still,-0.0056958,tp14
235.0,still,-0.0042703,tp14
236.0,still,-0.00501607,tp14
237.0,still,-0.00556856,tp14
238.0,still,-0.00490064,tp14
239.0,still,-0.00242445,tp14
240.0,still,-0.00552792,tp14
241.0,still,-0.0047986,tp14
242.0,still,-0.00526089,tp14
243.0,still,-0.00365593,tp14
244.0,still,-0.00498223,tp14
245.0,still,-0.00344101,tp14
246.0,still,-0.00479985,tp14
247.0,still,-0.00368451,tp14
248.0,still,-0.00470563,tp14
249.0,still,-0.00398456,tp14
